course_name,instructor,course url,course description,reviews_avg,reviews_count,course_duration,level
2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,https://www.udemy.com/course/complete-python-bootcamp/,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,4.6,440383 reviews,22 total hours,All Levels
The Web Developer Bootcamp 2022,Colt Steele,https://www.udemy.com/course/the-web-developer-bootcamp/,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",4.7,248508 reviews,64 total hours,All Levels
The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/the-complete-web-development-bootcamp/,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",4.7,234837 reviews,65.5 total hours,All Levels
Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmüller,https://www.udemy.com/course/the-complete-guide-to-angular-2/,"Master Angular 14 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",4.6,174576 reviews,34.5 total hours,All Levels
Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",https://www.udemy.com/course/java-the-complete-java-developer-course/,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,4.5,171838 reviews,80.5 total hours,All Levels
"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",https://www.udemy.com/course/react-the-complete-guide-incl-redux/,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",4.6,166128 reviews,49.5 total hours,All Levels
Machine Learning A-Z™: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",https://www.udemy.com/course/machinelearning/,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,4.5,163104 reviews,42.5 total hours,All Levels
The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,https://www.udemy.com/course/the-complete-javascript-course/,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",4.7,156031 reviews,69 total hours,All Levels
100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,https://www.udemy.com/course/100-days-of-code/,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,150024 reviews,64 total hours,All Levels
Python for Data Science and Machine Learning Bootcamp,Jose Portilla,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,122487 reviews,25 total hours,All Levels
The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team",https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.6,114535 reviews,32 total hours,All Levels
Automate the Boring Stuff with Python Programming,Al Sweigart,https://www.udemy.com/course/automate/,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",4.7,103366 reviews,9.5 total hours,All Levels
Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie",https://www.udemy.com/course/unitycourse/,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",4.7,96126 reviews,18.5 total hours,All Levels
Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",https://www.udemy.com/course/python-the-complete-python-developer-course/,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,4.6,94413 reviews,72.5 total hours,All Levels
Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,"""TOP RATED  #1 Master SELENIUM java 4.0 (Latest) course"" -5 Million students learning worldWide with great collaboration",4.6,89742 reviews,53.5 total hours,All Levels
Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",4.8,85094 reviews,37.5 total hours,All Levels
iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/ios-13-app-development-bootcamp/,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,4.8,80067 reviews,60.5 total hours,All Levels
Modern React with Redux,Stephen Grider,https://www.udemy.com/course/react-redux/,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",4.7,77591 reviews,52.5 total hours,All Levels
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",4.6,74438 reviews,37.5 total hours,Beginner
The Complete Web Developer Course 2.0,"Rob Percival, Codestars • over 2 million students worldwide!",https://www.udemy.com/course/the-complete-web-developer-course-2/,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",4.6,70448 reviews,28.5 total hours,All Levels
The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",4.6,67880 reviews,35 total hours,All Levels
Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,https://www.udemy.com/course/spring-hibernate-tutorial/,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",4.6,66391 reviews,42.5 total hours,All Levels
